NOME_CLIENTE,CNPJ_CLIENTE,EMAIL_CLIENTE,TELEFONE_CLIENTE,NUMERO_NF,DATA_EMISSAO,VALOR_NET,VALOR_TRIBUTO, VALOR_TOTAL ,NOME_ITEM,QTD_ITEM,CONDICAO_PAGAMENTO,CEP,NUM_ENDERECO,COMPLEMENTO,TIPO_ENDERECO,DATA_PROCESSAMENTO
Bernar Sparrowhawk,49659039000104,bsparrowhawkc@businessweek.com,796-11-9273,0000021,2023-09-01,200000,20000,220000,Tacoma,1,Entrada/30/60 dias,24752485,1679,,ENTREGA,2023-09-05 00:00:14.000
Berkie Whawksparrow,18849608000150,bsparrowhawkc@businessweek.com,796-11-9273,0000022,2023-09-02,400000,40000,440000,Boxster,1,Entrada/30/60 dias,24752640,1860,APTO 923,COBRANCA,2023-09-05 00:00:15.000
Biancs Aglewhawk,37498419000125,bsparrowhawkc@businessweek.com,796-11-9273,0000023,2023-09-03,250000,20000,270000,Escalade ESV,1,A vista,24752485,1679,,ENTREGA,2023-09-05 00:00:16.000
Taturs Gierke,10762096000189,bgierke9@weebly.com,214-66-8829,0000024,2023-09-04,400000,40000,440000,Boxster,1,Entrada/30/60/90 dias,13101011,1852,APTO 675,COBRANCA,2023-09-05 00:00:18.000
Napole Malparte,51782246000101,bgierke9@weebly.com,214-66-8829,0000025,2023-09-11,150000,10000,160000,Cooper,1,Entrada/30 dias,24752140,1886,,ENTREGA,2023-09-13 00:00:19.000
Bobbi Gierke,51206707000190,bgierke9@weebly.com,214-66-8829,0000026,2023-09-12,210000,20000,230000,S10,1,60 dias,13101011,1852,APTO 675,COBRANCA,2023-09-13 00:00:20.000
Mels Flecknoe,37053187000100,bflecknoe1@networkadvertising.org,703-36-1318,0000027,2023-09-13,150000,10000,160000,Cooper,1,90 dias,38010300,1345,APTO 894,COBRANCA/ENTREGA/FATURAMENTO,2023-09-13 00:00:23.000
Patric Gusrke,73360757000160,bgierke9@weebly.com,214-66-8829,0000028,2023-09-20,150000,10000,160000,Cooper,1,Entrada/30 dias,24752140,1886,,ENTREGA,2023-09-25 00:00:19.000
Dampro Gierke,62745299000160,bgierke9@weebly.com,214-66-8829,0000029,2023-09-22,210000,20000,230000,S10,1,60 dias,13101011,1852,APTO 675,COBRANCA,2023-09-25 00:00:20.000
Butch Flecknoe,11149449000132,bflecknoe1@networkadvertising.org,703-36-1318,0000030,2023-09-25,150000,10000,160000,Cooper,1,90 dias,38010300,1345,APTO 894,COBRANCA/ENTREGA/FATURAMENTO,2023-09-25 00:00:23.000
Amelia Westmore,18513075000131,awestmorek@intel.com,222-31-5541,0000001,2023-10-01,150000,10000,160000,Cooper,1,90 dias,19911215,128,,ENTREGA,2023-10-05 00:00:01.000
Amelia Westmore,18513075000131,awestmorek@intel.com,222-31-5541,0000002,2023-10-02,150000,10000,160000,Cooper,1,90 dias,19911215,128,,FATURAMENTO,2023-10-05 00:00:02.000
Catlee Schreurs,12543190000172,cschreurs2@utexas.edu,714-68-2416,0000003,2023-10-04,200000,20000,220000,Tacoma,1,Entrada/30 dias,37980970,1863,APTO 32,COBRANCA/ENTREGA/FATURAMENTO,2023-10-05 00:00:25.000
Celisse Purle,39877100000000,cpurleq@mapy.cz,313-79-6866,0000004,2023-10-05,150000,10000,160000,Cooper,1,60 dias,37561033,1952,APTO 181,COBRANCA/ENTREGA/FATURAMENTO,2023-10-05 00:00:26.000
Denys Stidson,07591326000180,dstidsonj@youtu.be,210-55-7719,0000005,2023-10-07,150000,10000,160000,Cooper,1,Entrada/30 dias,75533580,822,,ENTREGA,2023-10-10 00:00:34.000
Clemmy Krimmer,18121285000184,ckrimmer5@cnn.com,102-78-6081,0000006,2023-10-08,150000,10000,160000,Cooper,1,90 dias,99074490,1396,APTO 796,COBRANCA,2023-10-10 00:00:28.000
Denys Stidson,08367116000175,dstidsonj@youtu.be,210-55-7719,0000007,2023-10-10,210000,20000,230000,S10,1,60 dias,75533530,1835,APTO 653,COBRANCA,2023-10-10 00:00:35.000
Basilio Gabbott,77628386000105,bgabbottp@opera.com,865-22-5262,0000008,2023-10-26,210000,20000,230000,S10,1,30 dias,84061020,1837,APTO 864,COBRANCA/ENTREGA/FATURAMENTO,2023-10-26 00:00:11.000
Berkie Sparrowhawk,55147053000121,bsparrowhawkc@businessweek.com,796-11-9273,0000009,2023-10-26,400000,40000,440000,Boxster,1,60 dias,24752485,1679,,ENTREGA,2023-10-26 00:00:13.000
Othilie Clemenson,92253165000193,oclemensonb@sina.com.cn,244-28-4321,0000010,2023-10-26,400000,40000,440000,Boxster,1,Entrada/30 dias,69068150,1014,APTO 685,COBRANCA,2023-10-26 00:00:54.000
Manuel Krimmer,56069454000173,ckrimmer5@cnn.com,102-78-6081,0000011,2023-11-01,100000,10000,110000,Azera,1,60 dias,99074460,251,,ENTREGA,2023-11-05 00:00:30.000
Carlos Gierke,05232528000100,bgierke9@weebly.com,214-66-8829,0000012,2023-11-02,400000,40000,440000,Boxster,1,60 dias,24752140,1886,,ENTREGA,2023-11-05 00:00:17.000
Marta Westmore,21641307000141,awestmorek@intel.com,222-31-5541,0000013,2023-11-04,250000,20000,270000,Escalade ESV,1,90 dias,1002000,1847,APTO 170,COBRANCA/FATURAMENTO,2023-11-05 00:00:03.000
Juditt Cancellario,78807881000144,acancellario6@php.net,591-35-9229,0000014,2023-11-05,100000,10000,110000,Azera,1,Entrada/30/60/90 dias,44044337,88,APTO 105,COBRANCA,2023-11-05 00:00:05.000
Marcos Flecknoe,99635189000156,bflecknoe1@networkadvertising.org,703-36-1318,0000015,2023-11-11,400000,40000,440000,Boxster,1,30 dias,38010300,1345,APTO 894,COBRANCA/ENTREGA/FATURAMENTO,2023-11-11 00:00:22.000
